Vendor,Street Address,City,Zip Code,Phone,Location
CVS #1268,106 BOSTON POST RD,WATERFORD,6385,8604432326,
TORRES GROCERY,28 WILDMAN ST,DANBURY,6810,2037486241,
SAMMY MARKET INC.,253 DAVENPORT AVE,NEW HAVEN,6519,2037451768,
CVS #0750,875 ENFIELD ST,ENFIELD,6082,8607413015,
PEOPLE'S PLAZA,1631 MAIN ST,HARTFORD,6120,8605481656,
C TOWN SUPERMARKET,45 NORTH ST,DANBURY,6810,2037485466,
CVS #2839,2005 NORWICH NEW LONDON TPKE,UNCASVILLE,6382,8608483202,
NEIGHBORHOOD FOOD MART,130 SCOTT RD,WATERBURY,6705,2035967644,
WALMART STORE #2719,1400 FARMINGTON AVE,BRISTOL,6010,8605851700,
SHOPRITE OF MANCHESTER #330,214 SPENCER ST,MANCHESTER,6040,8606453240,
CRYSTAL GROCERY,226 W MAIN ST,MERIDEN,6451,2034401518,
CVS #5450,766 NEW LONDON TPKE,GLASTONBURY,6033,8606334668,
D&D SUPERMARKET,179 MATHER STREET,HARTFORD,6120,8602166353,
STOP & SHOP #2610,25 OLD KINGS HWY N,DARIEN,6820,2036621227,
WEST ROCK ONE STOP FOOD MART,122 WILMOT ROAD,NEW HAVEN,6515,2036916826,
CVS #2573,1425 BARNUM AVE,STRATFORD,6614,2033837741,
NORTH MAIN MARKET,825 NORTH MAIN STREET,WATERBURY,6704,2037559454,
STOP & SHOP #692,370 HEMINGWAY AVE,EAST HAVEN,6512,2034698895,
PRICE CHOPPER #189,251 KENNEDY DR,PUTNAM,6260,8609283030,
STOP & SHOP #604,727 RUBBER AVE,NAUGATUCK,6770,2037294182,
TARGET T-1544,21 BROAD ST,STAMFORD,6901,2033880006,
WALGREENS #3827,161 WASHINGTON ST,HARTFORD,6106,8605225005,
GNAZZO FOOD CENTER,73 EAST ST,PLAINVILLE,6062,8607478758,
CVS #0941,844 JONES HILL RD,NEW HAVEN,6515,2039335499,
GEISSLER'S SUPERMARKET,100 BRIDGE ST,EAST WINDSOR,6088,8606236336,
CIBAO MARKET,79 MAIN ST,WILLIMANTIC,6226,8604568883,
C TOWN SUPERMARKET,482 GREENWICH AVE,NEW HAVEN,6519,2037738998,
CVS #10130,110 MAIN ST,HEBRON,6248,8602283888,
STOP & SHOP #635,100 DIVISION ST,ANSONIA,6401,2037323901,
SHOPRITE OF MILFORD #327,935 BOSTON POST ROAD,MILFORD,6460,2038767868,
COMPARE SUPERMARKET,1954 BALDWIN ST,WATERBURY,6706,2037534931,
CVS #0343,66 HIGH RIDGE RD,STAMFORD,6905,2035413972,
SHOPRITE OF SOUTHINGTON,750 QUEEN ST,SOUTHINGTON,6489,8607360044,
STOP & SHOP #689,286 BROAD ST,MANCHESTER,6040,8606458050,
CVS #1284,14 E MAIN ST,CLINTON,6413,8606649335,
CVS #0377,915 POQUONNOCK RD,GROTON,6340,8604460144,
JUNCO 9,373 HARRAL AVE,BRIDGEPORT,6604,2033457443,
PRICE CHOPPER #156,990 TORRINGFORD ST,TORRINGTON,6790,8604965051,
STOP & SHOP #2614,50 WINDSORVILLE RD,VERNON,6066,8608710498,
GRADE A SHOPRITE-SOUTHBURY 389,775 MAIN ST S,SOUTHBURY,6488,2032621477,
CVS #1280,99 GREENWICH AVE,GREENWICH,6830,2038629320,
TOP FOOD MART,757 MERIDEN ROAD,WATERBURY,6705,2035730029,
SHOPRITE OF WEST HARTFORD #368,46 KANE ST,WEST HARTFORD,6119,8602331713,
SHOPRITE OF NORWICH #336,634 W MAIN ST,NORWICH,6360,8608870409,
SAVE-A-LOT #812,311 W MAIN ST,MERIDEN,6451,2032387204,
LA PLAZA DEL MERCADO,704 PARK ST,HARTFORD,6106,8605607677,
CVS #0231,142 TALCOTTVILLE RD,VERNON,6066,8608721329,
CVS #1044,656 NEW HAVEN AVE,DERBY,6418,2037324501,
LATINO MARKET LLC,652 BALDWIN ST,WATERBURY,6706,2037591495,
STOP & SHOP #683,180 DANBURY RD,NEW MILFORD,6776,8603553234,
SHOPRITE OF EAST HARTFORD #340,31 MAIN ST,EAST HARTFORD,6118,8608958390,
CVS #0692,162 WASHINGTON AVE,NORTH HAVEN,6473,2032395914,
CVS #3549,355 CAMPBELL AVE,WEST HAVEN,6516,2039311190,
CVS #0785,632 MIDDLE TPKE,STORRS MANSFIELD,6268,8604870223,
CVS #1183,777 MAIN ST,HARTFORD,6103,8602449424,
CVS #0133,698 POST RD,FAIRFIELD,6824,2032554402,
PRICERITE OF BRIDGEPORT,164 BOSTON AVE,BRIDGEPORT,6610,2033336954,
SAM'S DELI & CONVENIENCE STORE,153 HIGHLAND AVE,WATERBURY,6708,2035919397,
WALMART STORE #3803,515 SAWMILL RD,WEST HAVEN,6516,2039312081,
WALSH'S MARKET OF WOLCOTT,1786 MERIDEN RD,WOLCOTT,6716,2038792580,
SHOPRITE OF BRISTOL #308,1200 FARMINGTON AVE,BRISTOL,6010,8605848022,
ACME #2633,282 ELM ST,NEW CANAAN,6840,2039660017,
STOP & SHOP #687,22 LEETES ISLAND RD,BRANFORD,6405,2034881325,
COMPARE FOODS (A & E),72 BROAD ST,NEW BRITAIN,6053,8608271764,
STOP & SHOP #650,1160 KINGS HIGHWAY CUTOFF,FAIRFIELD,6824,2032548478,
STOP & SHOP #603,15 FRANKLIN ST,SEYMOUR,6483,2038812641,
DANBURY DELI & MARKET LLC,216 WHITE ST STE 3,DANBURY,6810,2037312767,
VICTOR'S FOOD MART & DELI,304 GRAND AVE,NEW HAVEN,6513,2037778880,
CVS #2219,2427 MAIN ST,ROCKY HILL,6067,8602584962,
STOP & SHOP #623,416 E MAIN ST,MIDDLETOWN,6457,8603460160,
EDDY'S FOOD CENTER,276 HOWARD AVE,NEW HAVEN,6519,2037872339,
SAMMY'S DOLLAR STORE,500 PARK AVE SUITE 6,BRIDGEPORT,6604,2033829520,
CVS #0696,14 CANDLEWOOD LAKE RD,BROOKFIELD,6804,2037759593,
EL MORRO SUPERMARKET,158 HILLSIDE AVE,HARTFORD,6106,8602637836,
SNACK PLUS,75 PUTNAM AVE,HAMDEN,6517,2032302340,
BLUE FIVE CORNERS,214 WESTLAND ST,HARTFORD,6112,8609372165,
WHALLEY AVE FOOD MARKET,538 WHALLEY AVE,NEW HAVEN,6511,2033971485,
CVS #1775,1058 HOPE ST,STAMFORD,6907,2033255172,
BIG Y BRANFORD #12,1060 W MAIN ST,BRANFORD,6405,2034819671,
STOP & SHOP #640 SUPER,385 CONNECTICUT AVE,NORWALK,6854,2032991715,
CHERRY VALLEY MARKETPLACE,155 THOMASTON AVE,WATERBURY,6702,2037545700,
SHOPRITE OF STRATFORD #320,250 BARNUM AVE CUT OFF,STRATFORD,6614,2033784296,
CVS #0857,660 FOXON RD,EAST HAVEN,6513,2034695154,
SHOPRITE OF NEW LONDON,351 N FRONTAGE RD,NEW LONDON,6320,8604471424,
BIG Y WORLD CLASS MARKET #81,33 FIELDSTONE CMNS,TOLLAND,6084,8608720304,
STOP & SHOP #619,1095 KENNEDY RD,WINDSOR,6095,8606880860,
CITY SUPERMARKET,717 WEST AVE,NORWALK,6850,2039560241,
CVS #1038,1044 BOULEVARD,WEST HARTFORD,6119,8602369358,
GALA FOODS SUPERMARKET,1457 FAIRFIELD AVE,BRIDGEPORT,6605,2033301094,
NSA SUPERMARKET,332 S FRONTAGE RD,NEW LONDON,6320,8604377100,
CVS #0459,2639 MAIN ST,GLASTONBURY,6033,8606339090,
TARGET T-1528,7 STONY HILL RD,BETHEL,6801,2034481029,
STOP & SHOP #677,11 E MAIN ST,CANAAN,6018,8608247016,
SAVE-A-LOT #821,1125 DIXWELL AVE,HAMDEN,6514,2037721346,
TARGET T-1955,25 BOSTON POST RD,ORANGE,6477,2038593694,
KID MINI MARKET,90 FARREN AVE,NEW HAVEN,6513,2036919354,
GRADE A MARKET #395,495 HOPE ST,STAMFORD,6906,2033259991,
CVS #0349,484 WINDSOR AVE,WINDSOR,6095,8609475076,
STOP & SHOP #2605 #691,54 HAZARD AVE,ENFIELD,6082,8607412200,
7-ELEVEN #27640,334 W MAIN ST,WATERBURY,6702,2035979068,
MINI SPECIAL MARKET,254 ORCHARD ST,BRIDGEPORT,6608,2032758866,
CAROLINE MEAT MARKET & SEAFOOD,310 E MAIN ST,MERIDEN,6450,2034404904,
WALGREENS #3359,1606 BARNUM AVE,STRATFORD,6614,2033772851,
WALMART SUPERCENTER #2854,180 RIVER RD,LISBON,6351,8603763254,
LA MARQUETA MEAT & PRODUCE,432 WEST MAIN STREET,STAMFORD,6902,2035042426,
POLLA SUPERMARKET,399 MAIN ST,DANBURY,6810,2037432487,
CVS #1154,6 WILLARD RD,NORWALK,6851,2037506901,
STOP & SHOP #696,460 ELM ST,WEST HAVEN,6516,2039318843,
ADAM'S SUPER FOOD STORE,1167 MAIN ST,WATERTOWN,6795,8602742672,
CVS #3835,72 BERLIN RD,CROMWELL,6416,8606130499,
TARGET T-2361,5056 MAIN ST,TRUMBULL,6611,8608732013,
HOT CORNER MARKET,717 ALBANY AVE,HARTFORD,6112,8607097061,
PLAZA FOOD STORE,323 WILLOW ST,WATERBURY,6710,2037538374,
STOP & SHOP #638,930 NORTH COLONY RD,WALLINGFORD,6492,2032656972,
STOP & SHOP #634,150 NEW PARK AVE,HARTFORD,6106,8602328777,
WALGREENS #3523,75 MAIN ST,DANBURY,6810,2037910405,
NORWALK MARKETPLACE,23 WEST AVE,NORWALK,6854,2039565500,
LONG HILL GROCERY 2,181 LONG HILL RD,WATERBURY,6704,2035276790,
MOE QUALITY MARKET,507 DIXWELL AVE,NEW HAVEN,6511,2037775506,
LA PLACITA LATINA MEAT & DELI,2634 MAIN STREET,BRIDGEPORT,6606,2036106127,
CORNER MARKET,177 FERRY STREET,NEW HAVEN,6513,2036918692,
ELA DISCOUNTS LLC,1321 STRATFORD AVENUE,BRIDGEPORT,6607,2033621805,
TARGET T-1373,474 CHAMBERLAIN HWY,MERIDEN,6451,2036346049,
CVS #1202,20 BANK ST,GRANBY,6035,8606534246,
STOP & SHOP #636,228 SOUTH MAIN ST,NEWTOWN,6470,2032700177,
BIG Y WORLD CLASS MARKET #33,83 LATHROP RD,PLAINFIELD,6374,8605641888,
C TOWN SUPERMARKET,394 NEW BRITAIN AVE,HARTFORD,6106,8605255984,
TONY'S MARKET,100 BISHOP AVE,BRIDGEPORT,6607,2036960747,
CVS #4149,54 E HIGH ST,EAST HAMPTON,6424,8602676853,
STOP & SHOP #727,60 PROVIDENCE PIKE,PUTNAM,6260,8609632640,
CVS #1966,1057 BOSTON POST RD,GUILFORD,6437,2034581444,
CARONNA'S MARKET,25 PEARL ST,ENFIELD,6082,8607454284,
STOP & SHOP #629,898 BRIDGEPORT AVE,SHELTON,6484,2039297516,
CVS #1139,2610 E MAIN ST,BRIDGEPORT,6610,2033681688,
STOP & SHOP #614,1135 FARMINGTON AVE,BERLIN,6037,8608280276,
SHOPRITE OF CANTON,110 ALBANY TPKE,CANTON,6019,8606933666,
WINDHAM IGA,422 WINDHAM RD,WILLIMANTIC,6226,8604233056,
PRICERITE OF NEW BRITAIN,150 COLUMBUS BLVD,NEW BRITAIN,6051,8608260588,
CVS #1089,20 BURNSIDE AVE,EAST HARTFORD,6118,8602902090,
WALGREENS #9521,1000 PARK AVE,BRIDGEPORT,6604,2036960127,
CVS #0916,26 DAVIS ST,OAKVILLE,6779,8609453390,
STOP & SHOP #624,136 SAMSON ROCK DR,MADISON,6443,2032457204,
A & H CONVENIENCE,334-A LIBERTY ST,MERIDEN,6450,2036393551,
TARGET T-2434,600 EXECUTIVE BLVD,SOUTHINGTON,6489,8604066754,
CVS #2388,2000 N MAIN ST,WATERBURY,6704,2035913080,
KASIQUE MINI MARKET,72 MAIN ST,HARTFORD,6106,8605607606,
WALMART STORE #2144,970 TORRINGFORD ST,TORRINGTON,6790,8604968653,
CVS #1941,511 MONROE TPKE,MONROE,6468,2032611185,
STOP & SHOP #688,105 ELM ST,OLD SAYBROOK,6475,8603880850,
STOP & SHOP #2613,206 KITTS LN,NEWINGTON,6111,8606658166,
STOP & SHOP #2606,176 NEWINGTON RD,WEST HARTFORD,6110,8602318082,
STOP & SHOP #667,117 BOSTON POST RD,WATERFORD,6385,8604442051,
STOP & SHOP #652,215 E MAIN ST,CLINTON,6413,8606692228,
SAVE-A-LOT #824,1888 MAIN ST,HARTFORD,6120,8605480654,
LENNY'S GROCERY II,362 CHESTNUT ST,NEW BRITAIN,6051,8602298374,
STOP & SHOP #673,760 VILLA AVE,FAIRFIELD,6825,2033330004,
CALIFORNIA GROCERY,846 CONGRESS AVE,NEW HAVEN,6519,2037730409,
GRADE A SHOPRITE #390,200 SHIPPAN AVE,STAMFORD,6902,2039649500,
LA PLACITA MEAT MARKET,440 LOMBARD ST,NEW HAVEN,6513,2037850835,
STOP & SHOP #684,505 N MAIN ST,SOUTHINGTON,6489,8606209161,
CVS #2525,323 CROMWELL AVE,ROCKY HILL,6067,8605639393,
JUNCO SUPERMARKET II,27 HIGHLAND AVENUE,BRIDGEPORT,6604,2033669099,
NAVAL COMMISSARY STORE,40 CRYSTAL LAKE ROAD,GROTON,6349,8603262020,
PRICE CHOPPER #232,855 WASHINGTON ST,MIDDLETOWN,6457,8607407700,
CVS #1912,1968 BLACK ROCK TPKE,FAIRFIELD,6825,2033667934,
GALA FOODS,1050 E MAIN ST,BRIDGEPORT,6608,2033669060,
SAVE-A-LOT #869,540 PEQUONNOCK ST,BRIDGEPORT,6604,2033350540,
STOP & SHOP #656,125 DANBURY RD,RIDGEFIELD,6877,2034387317,
CHRISTINA GROCERY,227 SISSON AVE,HARTFORD,6105,8602320264,
BORIQUA MARKET,183 LAWRENCE ST,HARTFORD,6106,8607285680,
ALMONTE MARKET,288 BUNNELL STREET,BRIDGEPORT,6607,2038700646,
CVS #1043,525 BUCKLAND RD,SOUTH WINDSOR,6074,8606445950,
STOP & SHOP #685 SUPER,470 MONROE TPKE,MONROE,6468,2032680589,
CVS #1027,372 W MAIN ST,NORWICH,6360,8608877887,
CVS #0943,1200 MAIN ST,WILLIMANTIC,6226,8604561337,
CVS #0811,1150 WHALLEY AVE,NEW HAVEN,6515,2033876784,
LAST STOP MARKET,427 WETHERSFIELD AVE,HARTFORD,6114,8602967721,
STOP & SHOP #648,112 AMITY RD,NEW HAVEN,6515,2033898600,
CVS #0918,964 POST RD,DARIEN,6820,2036552865,
SAVE-A-LOT #846,425 BROAD ST,MANCHESTER,6040,8606451913,
TARGET T-1249,125 BUCKLAND HILLS DR,MANCHESTER,6042,8603270082,
TARGET T-2249,20 W MAIN ST,ANSONIA,6401,2032785055,
WALGREENS #7585,102 WASHINGTON ST,NEW BRITAIN,6051,8608267272,
WALGREENS #9784,20 CONNECTICUT BLVD,EAST HARTFORD,6108,8602894944,
WALMART SUPERCENTER #2282,44 PROSPECT HILL RD,EAST WINDSOR,6088,8602921235,
CVS #0822,40 EAST ST,NEW MILFORD,6776,4017703941,
CORNER GROCERY,423 WILLOW ST,WATERBURY,6710,2035967379,
STOP & SHOP #647,855 BRIDGEPORT AVE,MILFORD,6460,2038760467,
C TOWN SUPERMARKET,5 WASHINGTON ST,NORWALK,6854,2038380888,
STOP & SHOP #695,275 HIGHLAND AVE,CHESHIRE,6410,2032723628,
CVS #1948,690 WETHERSFIELD AVE,HARTFORD,6114,8602960533,
CEPEDA AND FERNANDEZ CORP.,118 STILLWATER AVENUE,STAMFORD,6902,2033888111,
PRICERITE OF TORRINGTON,695 MAIN ST,TORRINGTON,6790,8604893864,
PUTNAM SUPERMARKET,162 PROVIDENCE ST,PUTNAM,6260,8609286531,
WALGREENS #3192,649 W MAIN ST #2,WATERBURY,6702,2037576010,
CVS #7093,47-49 LAKE AVE EXT,DANBURY,6811,2037787471,
CVS #0294,177 COLUMBUS BLVD,NEW BRITAIN,6051,8602231437,
ADAM'S SUPERMARKET,200 LEAVENWORTH RD,SHELTON,6484,2039297982,
TOPS SUPERMARKET,887 MERIDEN WATERBURY TPKE,PLANTSVILLE,6479,8606215837,
STOP & SHOP #639,200 EAST MAIN ST,STRATFORD,6614,2033758787,
CHEERS DELI & GROCERY,391 WILLIAMS STREET,NEW LONDON,6320,8604377676,
PRICERITE OF WINDSOR,590 WINDSOR AVE,WINDSOR,6095,8606838688,
STOP & SHOP #621,100 MAIN ST NORTH,SOUTHBURY,6488,2032624555,
STOP & SHOP #618,410 REIDVILLE DR,WATERBURY,6705,2037558605,
BIG Y WORLD CLASS MARKET #84,355 HAWLEY LN,STRATFORD,6614,2033860576,
T & J SUPERMARKET,875 N HIGH ST,EAST HAVEN,6512,2034676438,
PEQUONNOCK DELI MARKET,477 PEQUONOCK STREET,BRIDGEPORT,6604,2035021071,
STOP & SHOP #651,313 COTTAGE GROVE RD,BLOOMFIELD,6002,8602425954,
CVS #6702,644 W PUTNAM AVE,GREENWICH,6830,2034222022,
ERNIE'S MARKET,236 ALBANY AVE,HARTFORD,6120,8602930775,
GRADE A SHOPRITE #392,143 FEDERAL RD,BROOKFIELD,6804,2037757078,
PRICE CHOPPER #204,121 FARMINGTON AVE,BRISTOL,6010,8605822876,
STOP & SHOP #600,2335 DIXWELL AVE,HAMDEN,6514,2032489615,
CVS #0124,98 BRIDGE ST,NAUGATUCK,6770,2037231911,
CVS #1987,1938 WEST MAIN STREET,STAMFORD,6902,2033237864,
CHERRY MINI MARKET GROCERY,90 CONGRESS AVE,WATERBURY,6708,2037591300,
SONO MINI MARKET LLC,251 ELY AVENUE,NORWALK,6854,2039391377,
WALMART SUPERCENTER #2299,161 BERLIN RD,CROMWELL,6416,8606350458,
ADAM'S SUPER FOOD STORE,193 MAIN ST,DEEP RIVER,6417,8605262807,
CVS #6807,153 BROAD ST,MERIDEN,6450,2036396081,
BETTER VAL-U #1,99 RIVER RD,JEWETT CITY,6351,8603764424,
R & M CORNER MARKET,39 CASTLE ST,NEW HAVEN,6513,2035622384,
STOP & SHOP #686,1799 FARMINGTON AVE,UNIONVILLE,6085,8604040341,
PAY RITE,440 OCEAN AVE,NEW LONDON,6320,8604379899,
SAVE-A-LOT #826,950 MAIN ST,EAST HARTFORD,6108,8602919603,
ADAM'S HOMETOWN MARKET,92 MAIN ST,THOMASTON,6787,8602835645,
BIG Y WORLD CLASS MARKET #77,345 WASHINGTON AVE,NORTH HAVEN,6473,2032342103,
CVS #5848,119 S MAIN ST,COLCHESTER,6415,8605370711,
EDDIE'S MARKET,58 SYLVAN AVE,NEW HAVEN,6519,2036244219,
CVS #0671,1099 NEW BRITAIN AVE,WEST HARTFORD,6110,8605238134,
SAVE-A-LOT #844,1250 PARK ST,HARTFORD,6106,8609513043,
CVS #0348,1078 SILAS DEANE HWY,WETHERSFIELD,6109,8605297387,
STOP & SHOP #613,10 PITKIN RD,VERNON,6066,8608711051,
WALGREENS #18969,1291 ALBANY AVE,HARTFORD,6112,8605601881,
WALMART SUPERCENTER #2371,844 N COLONY RD,WALLINGFORD,6492,2032696622,
STOP & SHOP #646,1937 W MAIN ST,STAMFORD,6902,2033231458,
CVS #7856,281 CONNECTICUT AVE,NORWALK,6851,2032995486,
CVS #0135,266 WEST ST,LITCHFIELD,6759,8605670856,
PRICERITE OF DANBURY,29 MAIN ST,DANBURY,6810,2037432660,
